,ID,Label,Statement,Subject,Speaker,Speaker Job,State,Party Aff,Credit,True,Half true,Mostly true,Pants on fire,Context
703,2787.json,barely-true,"Its hard to get people in Portland to vote yes on ballot measures, especially when theres opposition.","campaign-finance,voting-record",friends-voter-owned-elections,political group,Oregon,none,1.0,0.0,0.0,0.0,0.0,a statement
2092,2586.json,mostly-true,(Strickland) raised taxes last year to the tune of $840 million.,taxes,john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,a news conference
5832,4892.json,mostly-true,TheU.S. economyis three times asbig as Chinas.,"china,economy",eric-cantor,House Majority Leader,Virginia,republican,9.0,6.0,4.0,4.0,4.0,a news conference.
4672,11193.json,half-true,"Emails released to the public show Hillary Clinton discussed the location of Ambassador Stevens, who of course was murdered, in Libya.","candidates-biography,terrorism",andrew-napolitano,judge,,republican,3.0,0.0,2.0,0.0,3.0,"in an interview on Fox's ""Hannity"""
7571,8105.json,false,Says Greg Abbott converted over $1 million in federal grant money intended for use to prosecute online sexual predators and other cyber crimes and instead used it to harass and prosecute senior citizens who were assisting other senior citizens in applying for mail-in ballots.,"crime,criminal-justice,elections,legal-issues",lone-star-project,,Washington,democrat,0.0,1.0,2.0,1.0,0.0,a blog post.
4032,5358.json,true,Many of the top officials at the Port Authority earn more money than the governors of the states that have jurisdiction over them.,transportation,john-wisniewski,State Assemblyman,New Jersey,democrat,2.0,2.0,0.0,1.0,0.0,a radio interview
1215,5327.json,barely-true,President Obama told people to skip coming here (Las Vegas) for conventions and meetings.,"economy,tourism",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a stump speech in Las Vegas
2511,6522.json,barely-true,The price of gasoline was at $1.85 a gallon when President Barack Obama took office and has since nearly doubled because of his policies,gas-prices,billboard,,,none,1.0,0.0,0.0,0.0,0.0,a billboard
5288,6635.json,half-true,Says Republicans Mitt Romney and Paul Ryan support massive cuts in Social Security for future generations.,"federal-budget,income,retirement,social-security",joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,a speech
9473,6169.json,mostly-true,"Over the last few decades, the income of the top 1 percent grew by more than 275 percent -- to an average of $1.3 million a year.","economy,income,wealth",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a campaign speech
4961,3532.json,half-true,On running for Senate if Jim Webb retires.,elections,tim-kaine,U.S. Senator,Virginia,democrat,8.0,3.0,15.0,15.0,0.0,a TV interview
9752,3305.json,barely-true,"If theres a government shutdown, people dont get their Social Security checks.","federal-budget,social-security",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a press conference
5439,6244.json,mostly-true,"Says recent studies indicate that nationally, only 8 percent of white voting-age citizens but 25 percent of African-American voting-age citizens lack government-issued photo IDs.","civil-rights,elections,legal-issues",eric-holder,Attorney General,"Washington, D.C.",democrat,0.0,0.0,0.0,1.0,0.0,a speech to the NAACP convention in Houston.
5742,3242.json,half-true,"It is projected that 3.07 million people will use the train annually. Keep in mind that Amtraks Acela train in Washington D.C., Boston, Philadelphia, New York and Baltimore only had 3.2 million riders in 2010.","state-budget,stimulus,transportation",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,comments announcing Florida would reject federal dollars for a Tampa-Orlando high-speed rail line.
3988,11930.json,barely-true,"In 2005 and 2007, Joe Straus received a 100 percent rating by NARAL (the National Abortion and Reproductive Rights Action League).","abortion,voting-record",empower-texans,,Texas,none,1.0,0.0,0.0,1.0,0.0,a web page
8867,2685.json,half-true,More private-sector jobs were created in the first eight months of 2010 than in the eight years of the Bush administration.,"economy,history,job-accomplishments",nancy-pelosi,House Minority Leader,California,democrat,3.0,7.0,11.0,2.0,3.0,"an interview on MSNBC's ""Countdown with Keith Olbermann"""
5268,7200.json,half-true,"The average kid comes out of Virginia colleges with about $25,000-plus in debt.",education,bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,a news conference.
1032,8728.json,mostly-true,"In my home state, nearly one in five Floridians live in poverty.",poverty,marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a video
2220,3775.json,true,Department of Education officials investigating Virginia Tech shootings have not once gotten into the car and driven down to Blacksburg to talk to the police chief or the university president or to anyone else.,"crime,education",ken-cuccinelli,Attorney General,Virginia,republican,1.0,10.0,3.0,2.0,1.0,a news release.
10187,7563.json,true,"If you go back to 1999, Wayne LaPierre testified on behalf of the NRA that background checks were appropriate and should be done.",guns,michael-bloomberg,,New York,independent,0.0,2.0,2.0,3.0,0.0,an appearance on 'Meet the Press'
2088,13361.json,barely-true,"When asked about bills in Congress important to the North Country, Derrick responded I just dont know enough about it.",health-care,elise-stefanik,Representative from the 21st Congressional District,New York,republican,1.0,0.0,0.0,0.0,0.0,a television ad
8395,13054.json,half-true,Says crime is rising in Manchester and has gone up 19 percent under Mayor Ted Gatsas.,crime,chris-sununu,Executive Councilor,New Hampshire,republican,0.0,1.0,1.0,0.0,1.0,an ad
666,9247.json,mostly-true,95 percent of the income gains in the last few years have gone to the top 1 percent.,"income,jobs",neera-tanden,President of the Center for American Progress,,newsmaker,0.0,0.0,0.0,1.0,0.0,"comments on NBC's ""Meet the Press"""
1047,3619.json,false,"Says that in 41 states, government workers are better paid than the taxpayers who support them.","state-budget,states,workers",mitch-daniels,governor,Indiana,republican,0.0,3.0,0.0,0.0,1.0,an interview with PBS's Tavis Smiley.
1629,11361.json,true,Theres no money for Planned Parenthood in the bill that would keep the government open.,"abortion,congress,congressional-rules,federal-budget",tom-cole,,Oklahoma,republican,0.0,0.0,0.0,1.0,0.0,an interview on Fox News Sunday
9670,6375.json,half-true,"Under the Obama administrations bailout of General Motors, Ohio dealerships were forced to close.","economy,jobs,message-machine-2012",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a campaign commercial
2163,7109.json,false,There is no evidence that poor people abuse drugs more frequently than any other socio-economic group.,"drugs,marijuana,poverty",joseph-joe-deshotel,Attorney,Texas,democrat,0.0,1.0,0.0,0.0,0.0,a press release.
3701,7056.json,half-true,On support for U.S. Rep. Paul Ryans Medicare reform plan,"federal-budget,health-care,medicare",tommy-thompson,,Wisconsin,republican,6.0,8.0,2.0,5.0,3.0,debate comments
3828,926.json,true,The stimulus bill contains $20 million for the removal of small to medium-sized fish passage barriers and $25 million to rehabilitate off-roading trails for ATVs.,"economy,federal-budget,stimulus",mike-pence,Governor,Indiana,republican,8.0,10.0,12.0,5.0,0.0,a speech
8476,4369.json,true,"A national study of 2,500 charter schools shows that maybe 20 percent do better than the community public schools, 40 percent or so do worse and the rest are not having any significant difference.",education,james-parisi,Lobbyst for the Rhode Island Federation of Teachers and Health Professionals,Rhode Island,labor-leader,0.0,0.0,0.0,0.0,0.0,a TV news show
9059,12419.json,half-true,One in three American women will have had an abortion by the time she reaches the age of 45.,abortion,naral-pro-choice-america,,,organization,1.0,0.0,1.0,0.0,0.0,a website post.
9422,8484.json,barely-true,Ken Cuccinelli would take money away from public schools to fund private schools.,"education,state-budget,taxes",terry-mcauliffe,Governor,Virginia,democrat,12.0,6.0,2.0,2.0,3.0,a TV ad.
8346,9408.json,pants-fire,"SaysMichele Bachmann said on Fox News, This country could use a president like Benjamin Franklin again.",history,facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,posts on Facebook
711,4293.json,mostly-true,"Says he worked with the Democratic legislature to balance spending with revenues so that at the end of my four-year term, the rainy day fund was established at more than $2 billion.","economy,new-hampshire-2012,state-budget,state-finances",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,"a speech to a Manchester, N.H. Rotary club"
7782,13031.json,false,"In an interview with the Chicago TribunesEditorial Board, Comptroller Leslie Munger says that in order to balance a budget, the state would have to cut social services completely.","elections,state-budget",seiu-healthcare-illinois-indiana,,,organization,0.0,1.0,0.0,0.0,0.0,a YouTube video 
616,9199.json,half-true,The U.S. spends more money on its military than the 16 biggest military budgets in the world combined.,"federal-budget,military",anissa-naouai,RT correspondent,,none,0.0,0.0,1.0,0.0,0.0,comments on CNN
306,12356.json,false,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,terrorism,roy-blunt,Senator,Missouri,republican,2.0,1.0,0.0,1.0,1.0,a petition against President Obama’s plan to close Guantanamo Bay
9304,8006.json,false,Miami-Dade has the nations highest-rated tap water.,"county-budget,environment,water",miami-dade-county,,Florida,none,0.0,1.0,0.0,0.0,0.0,a county budget document
3500,11932.json,half-true,Two-thirds of our kids cant read at grade level.,education,marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a column posted on Medium.com
10226,4614.json,mostly-true,"The proudest accomplishment (of my tenure) was leaving the state with a $1.2 billion surplus, which was the largest wed ever had, and getting spending under control and a balanced budget.","state-budget,state-finances,taxes",christine-whitman,"President, The Whitman Strategy Group",New Jersey,republican,0.0,0.0,0.0,2.0,0.0,an interview on NJTV
3247,11718.json,mostly-true,91% of suspected terrorists who attempted to buy guns in America walked away with the weapon they wanted.,"guns,homeland-security",patrick-murphy,,Florida,democrat,2.0,1.0,4.0,5.0,0.0,a tweet
5327,12261.json,false,"The chairman of the party of Florida, who is an avid and outward supporter of Marco Rubio, gets to appoint 30 of those delegates.",elections,corey-lewandowski,Campaign manager for Donald Trump,,republican,1.0,2.0,0.0,0.0,0.0,an interview on Fox News Sunday
4430,10652.json,true,Ted Cruz was the longest-serving solicitor general in the history of Texas.,"candidates-biography,legal-issues",jerry-falwell,"chancellor and president, Liberty University",Virginia,none,0.0,0.0,0.0,0.0,0.0,a speech introducing Ted Cruz at Liberty University
8461,11054.json,mostly-true,"The United States ranks second worst in income inequality across developed countries, after taxes and transfers.","economy,income,wealth",bobby-scott,U.S. Congressman,Virginia,democrat,1.0,2.0,1.0,5.0,0.0,a written statement.
8258,3211.json,true,Im the only candidate for Milwaukee County executive that has voted against increasing government pensions.,"candidates-biography,county-budget,state-budget",jeff-stone,"Member of State Assembly, 82nd District",Wisconsin,republican,1.0,0.0,0.0,1.0,0.0,a campaign radio ad
5483,6806.json,half-true,Says it will cost $220 per square foot in hard construction costs to rebuild Portland Public high schools.,"education,message-machine-2012",our-portland-our-schools,,,organization,0.0,0.0,1.0,0.0,0.0,campaign material
9758,8436.json,barely-true,"According to a federal report, Obamacare will increase the long-term federal deficit by $6.2 trillion.","deficit,federal-budget,health-care",paul-broun,Congressman,Georgia,republican,4.0,8.0,3.0,2.0,1.0,a newspaper op-ed
3955,8972.json,mostly-true,Travis County now has the highest urban county tax rate in Texas.,taxes,andy-brown,Attorney,Texas,democrat,0.0,1.0,0.0,1.0,0.0,a mailer to voters
1025,3504.json,false,"A third of all the young people in America are not in America today because of abortion, because one in three pregnancies end in abortion.","abortion,health-care,social-security",rick-santorum,,Pennsylvania,republican,12.0,16.0,13.0,7.0,5.0,a radio interview
3275,9191.json,mostly-true,Shaheen votes with Obama 99 percent of the time.,"bipartisanship,voting-record",new-hampshire-republican-party,,New Hampshire,republican,1.0,0.0,0.0,2.0,0.0,a web video
1447,505.json,half-true,"Obama's wife said her goal in life was to put the black community ""first and foremost.""",candidates-biography,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail
7109,10149.json,half-true,Says Scott Walker gave $6 million in tax breaks to a corporation and told them that they can keep that money even if they lay off half their workforce.,"economy,infrastructure,jobs,state-budget,taxes,workers",mary-burke,Madison school board member,Wisconsin,democrat,5.0,5.0,11.0,8.0,3.0,a speech
4939,5421.json,barely-true,"Without U.S. Senate action, Texas will have more federal judicial vacancies this year than any other state.","criminal-justice,states",progress-texas,,Texas,none,3.0,0.0,1.0,0.0,2.0,a web page post.
6647,13050.json,half-true,"Says76 percent of all voters in the United States say they want Johnson-Weld, by name, in the presidential debates.",polls,william-weld,Candidate for vice president on the Libertarian Party ticket,Massachusetts,libertarian,0.0,0.0,1.0,0.0,0.0,an Ask Me Anything session on reddit
4593,2862.json,half-true,"Since the Fed was created in 1913, the U.S. Dollar has lost 98% of its purchasing power.","economy,financial-regulation,income",virginia-tea-party-patriots,,,none,0.0,0.0,2.0,0.0,0.0,a letter to Congress.
5532,233.json,false,"And, you know, our first president and our first commander in chief prayed every day. He had a field manual of prayers.",history,duncan-hunter,U.S. representative,California,republican,0.0,1.0,0.0,2.0,0.0,a Fox News interview
2979,12481.json,barely-true,"Because George Holding doesnt live in the congressional district hes running for, he doesnt experience the same things that we are all experiencing.","congress,debates,redistricting",renee-ellmers,U.S. Representative,North Carolina,republican,1.0,0.0,0.0,0.0,0.0,a debate on WRAL
4855,232.json,half-true,"I'm prolife. I'm not going to apologize for becoming prolife. Ronald Reagan followed that same course, as did Henry Hyde and George Herbert Walker Bush. And I'm proud to be prolife.",abortion,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,"debate in Johnston, Iowa"
1121,13135.json,barely-true,The only years that anybodys ever seen of Donald Trumps tax returns showed he didnt pay any federal income tax.,"candidates-biography,history,income,campaign-advertising,taxes,wealth",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a Presidential debate
3410,12816.json,true,The Koch network (is) spending more money (in a Senate race) in Ohio than anywhere else in the country.,"campaign-finance,elections",sherrod-brown,U.S. Senator,Ohio,democrat,3.0,4.0,5.0,8.0,1.0,fundraising email
7867,8999.json,half-true,Says she made an accurate prediction that if Barack Obama were elected it would encourage Russia to invade Ukraine.,foreign-policy,sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,a post on Facebook
7632,4011.json,mostly-true,Gov. Bob McDonnell launched a raid on public education to pay for roads.,"education,state-budget,transportation",democratic-party-virginia,,Virginia,democrat,2.0,1.0,1.0,3.0,0.0,a fundraising appeal.
8574,11341.json,false,The birther movement was started by Hillary Clinton in 2008. She was all in!,obama-birth-certificate,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a tweet
954,12778.json,mostly-true,California has the sixth largest economy on planet Earth.,"economy,housing",kevin-de-leon,California Senate leader,California,democrat,0.0,0.0,0.0,3.0,0.0,a speech at the Democratic National Convention.
9114,1795.json,mostly-true,"I got a letter from 20 people who said they wanted their money back, 14 never gave me a penny.",campaign-finance,charlie-crist,,Florida,democrat,15.0,9.0,20.0,19.0,2.0,a meeting with the St. Petersburg Times editorial board.
1041,12137.json,false,"Under Hillary Clinton, State Department officials were sending official thank-yous to people who gave to the Clinton Foundation.","corrections-and-updates,foreign-policy",grover-norquist,"President, Americans for Tax Reform",,republican,0.0,3.0,0.0,2.0,1.0,a Fox Business interview
6201,1267.json,barely-true,The Senate Finance Committee approved a reform proposal that has both Democratic and Republican support.,health-care,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,his weekly address
913,13275.json,false,"Says that compared to direct sales by manufacturers, consumers save avg of $500 per car sold through franchised dealer model.",transportation,texas-automobile-dealers-association,Advocacy group,Texas,none,0.0,1.0,0.0,0.0,0.0,a tweet
5005,4554.json,mostly-true,We have a $2 trillion to $3 trillion infrastructure deficit. Weve got work that needs to get done. Weve got people that want to go to work.,"economy,infrastructure,jobs",tim-ryan,U.S. representative ,Ohio,democrat,0.0,0.0,0.0,5.0,1.0,a television interview
3171,167.json,barely-true,"All of the records, as far as I know, about what we did with health care, those are already available.",health-care,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,Philadelphia
3371,4567.json,half-true,The Arab Spring drove up gas prices.,"economy,energy,foreign-policy",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a press conference at the White House
1982,7725.json,false,"Says that in 2007, Oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data.","children,public-health",oregon-health-authority,,,none,0.0,1.0,0.0,0.0,0.0,a draft report
1104,3911.json,mostly-true,"Says opponent Kathie Tovo believes that Austin invests too much in the cops, firefighters and paramedics that protect our families and neighborhoods.","city-budget,city-government,public-safety",randi-shade,"Member, Austin City Council",Texas,democrat,0.0,0.0,1.0,2.0,0.0,a campaign mailer.
5520,10266.json,false,The conviction rate is almost exactly the same for whites and blacks who commit murder.,"civil-rights,crime,criminal-justice",rudy-giuliani,Attorney,New York,republican,9.0,11.0,10.0,7.0,3.0,an interview on 'Fox and Friends'
2034,4448.json,barely-true,"In the New York 9th District, there is a large number of people who went to the polls tonight who didnt support the president to begin with and dont support Democrats -- and its nothing more than that.",elections,debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7.0,9.0,8.0,15.0,3.0,comments published in the New York Times
4682,9193.json,half-true,"In Rhode Island, Nearly 9 percent of covered employees go out on short term disability every year, with an average outage from work of almost 12 weeks each.","disability,government-efficiency,labor,workers",kenneth-block,businessman,,republican,0.0,3.0,2.0,3.0,0.0,a campaign website
3916,142.json,mostly-true,"Mitt Romney has ""a pro-choice record.""",abortion,log-cabin-republicans,,,none,0.0,0.0,0.0,2.0,0.0,
9277,13216.json,barely-true,Chris Jacobs has been financed by the same men who are now facing charges in one of Western New Yorks largest public corruption schemes,campaign-finance,matt-tighe,Campaign manager for Amber Small,New York,democrat,1.0,0.0,0.0,0.0,0.0,a story in The Buffalo News
870,12844.json,mostly-true,American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.,"economy,housing",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a tweet
1138,12665.json,barely-true,Says he voted to remove Common Core from our schools.,education,ritch-workman,State representative,Florida,republican,1.0,1.0,0.0,0.0,0.0,an online ad
3864,2792.json,pants-fire,Pres. Obamas finance team is recommending a . . . 1% tax on all transactions at any financial institution.,"deficit,economy,taxes",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a message via the Internet
4156,3983.json,half-true,"Says Miami-Dade mayoral candidate Julio Robaina has the highest salary among Florida mayors. More than $260,000.",candidates-biography,common-sense-now,,Florida,none,0.0,0.0,1.0,0.0,0.0,an ad
4675,5104.json,half-true,"You can hire lots of bureaucrats. Thats what the presidents done. Hes added 135,000 people to the government workforce.","jobs,new-hampshire-2012,workers",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,"a town hall meeting in Peterborough, N.H."
7708,11752.json,pants-fire,"Until the new Iran deal, China and Russia have never voted with us at the U.N. on any sanctions on Iran in the past.","china,history,job-accomplishments,nuclear",nancy-pelosi,House Minority Leader,California,democrat,3.0,7.0,11.0,2.0,3.0,an interview on CNN
5197,1133.json,false,A provision in the health care reform bill for end-of-life counseling for seniors is not entirely voluntary.,health-care,sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,her Facebook page
8448,5309.json,mostly-true,"Most women, including 98 percent of Catholic women, have used contraception.","families,health-care,religion",cecilia-munoz,Director of the Domestic Policy Council,,newsmaker,0.0,0.0,0.0,1.0,0.0,a post to the White House Blog
10120,7542.json,true,Nearly 65 percent -- almost two-thirds -- of all new permanent residents obtained that status by virtue of their family status.,immigration,jeb-bush,,Florida,republican,17.0,5.0,17.0,24.0,2.0,in his book 'Immigration Wars'
4085,2222.json,half-true,"Seventy bills [Kendrick Meek] authored, not one of them has passed.",job-accomplishments,jeff-greene,,Florida,democrat,3.0,1.0,3.0,0.0,0.0,a debate
9272,6937.json,false,Says Mitt Romney called the Arizona law a model for the nation.,"immigration,legal-issues",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the second presidential debate
2484,980.json,false,Secretary Geithner has left the option on the table of abandoning the dollar for a multinational currency.,economy,michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,a press release.
482,12779.json,half-true,"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected.","federal-budget,terrorism",joseph-crowley,U.S. Rep.,New York,democrat,0.0,0.0,1.0,0.0,0.0,a speech at the Democratic convention
10165,12744.json,mostly-true,"While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.",taxes,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,his acceptance speech at the Republican Natiional Convention in Cleveland
4781,3033.json,true,New provisions of the health care law bar the use offlexible spending accounts and health savings accounts to pay for aspirin and other non-prescription health needs.,health-care,pat-mullins,"chairman, Republican Party of Virginia ",Virginia,republican,0.0,0.0,0.0,0.0,0.0,a letter. 
9976,2281.json,true,There is already a mosque four blocks away.,"homeland-security,religion",michael-bloomberg,,New York,independent,0.0,2.0,2.0,3.0,0.0,a speech
3172,5242.json,mostly-true,"Nevada is No. 1 in unemployment, violent crime, car theft, divorce, robberies and foreclosures.","crime,economy,gambling",no-casinos,,Florida,none,0.0,0.0,0.0,3.0,0.0,a television ad
5668,4764.json,barely-true,The city of Pembroke Pines doesnt have a vote in a plan to build a detention center in Southwest Ranches.,"crime,immigration,voting-record",frank-ortis,Pembroke Pines mayor,Florida,democrat,1.0,0.0,0.0,0.0,0.0,a meeting
1525,3150.json,true,The U.S. loses more on tax breaks than it collects in personal income taxes.,"deficit,federal-budget,taxes",mark-warner,U.S. Senator,Virginia,democrat,3.0,1.0,6.0,3.0,0.0,a TV interview.
6843,1668.json,false,Early census returns are showing that conservatives have been measurably less likely than liberals to return their census forms.,census,patrick-mchenry,U.S. Congressman,North Carolina,republican,0.0,1.0,0.0,2.0,0.0,an op ed article
522,1532.json,mostly-true,"Gov. Rick Perry spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10,000 a month.","ethics,transparency",kay-bailey-hutchison,U.S. Senator,Texas,republican,2.0,4.0,4.0,3.0,0.0,a radio ad
7760,6882.json,barely-true,We confer more PhDs each year than any other university in America except Berkeley.,education,bill-powers,"president, University of Texas at Austin",Texas,none,1.0,0.0,0.0,0.0,0.0,"his ""State of the University"" address."
5157,6255.json,half-true,Mitt Romneys companies were pioneers in outsourcing U.S. jobs to low-wage countries.,"candidates-biography,economy",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a campaign commercial
3835,12304.json,false,ISIS is making millions of dollars a week selling Libyan oil.,"energy,foreign-policy,terrorism",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a foreign policy speech
5459,5259.json,mostly-true,"We balanced the budget with the 1997 Balanced Budget Act, and ultimately had four consecutive balanced budgets.","federal-budget,history,job-accomplishments",newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16.0,15.0,20.0,10.0,11.0,"a Republican presidential debate in Jacksonville, Fla."
8600,12263.json,false,The Colorado caucus system for selecting Republican delegates is rigged.,"elections,ethics,campaign-advertising",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a TV interview
5068,3611.json,false,"Every time weve cut taxes, revenues have gone up, the economy has grown.","economy,federal-budget,taxes,abc-news-week",joe-walsh,member of Congress,Illinois,republican,0.0,1.0,0.0,0.0,0.0,"an interview on ""This Week with Christiane Amanpour"""
2149,370.json,true,We send a billion dollars to foreign countries every day because of our addiction to foreign oil.,energy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a debate in Austin, Texas."
1922,7402.json,false,In Virginia there has been a billion dollars in surplus over the last three years. The legislature has spent less than 1 percent of that on roads.,"state-budget,taxes,transportation",grover-norquist,"President, Americans for Tax Reform",,republican,0.0,3.0,0.0,2.0,1.0,a radio interview.
7296,149.json,half-true,"Obama spokesman Bill Burton says Clinton gave Bush ""a blank check on a critical foreign policy issue.""",foreign-policy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,
2020,4352.json,true,The estimated savings of this (debt ceiling) deal only pay for half of the cost of extending all of the Bush-era tax cuts for another decade.,"deficit,federal-budget",bobby-scott,U.S. Congressman,Virginia,democrat,1.0,2.0,1.0,5.0,0.0,a news release.
4757,1789.json,mostly-true,"In the last 10 years we've only had 7,000 barrels of oil spilled in the Gulf ... not counting hurricanes. This well is spewing that amount every day and a half.","energy,oil-spill",mary-landrieu,U.S. Senator,Louisiana,democrat,0.0,1.0,0.0,2.0,0.0,an interview on CNN
8499,9074.json,mostly-true,Florida ranks first in the nation for access to free prekindergarten.,"children,education",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a tweet
6702,10756.json,barely-true,Were not allowed to read it (the Trans-Pacific Partnership) before representatives vote on it.,"congressional-rules,foreign-policy,trade,transparency",martin-omalley,Maryland governor,Maryland,democrat,3.0,1.0,10.0,4.0,0.0,an interview with NPR
654,11641.json,true,The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,public-health,fulton-county-health-and-wellness,none,Georgia,none,0.0,0.0,0.0,1.0,0.0,a press release
6108,420.json,false,I actually started criticizing the war in Iraq before (Obama) did.,iraq,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"Eugene, Ore."
2290,11631.json,false,Says Thomas Jefferson helped craft the Constitution.,history,ben-carson,,,republican,7.0,12.0,3.0,2.0,4.0,a TV interview.
331,10449.json,mostly-true,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,sports,bill-belichick,,,none,0.0,0.0,0.0,1.0,0.0,a news conference
2662,7668.json,true,The NRA used to support expanded background checks.,guns,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,remarks in the White House Rose Garden
8221,11710.json,half-true,The Affordable Care Act is making families pay double-digit premium increases.,health-care,paul-ryan,U.S. Representative,Wisconsin,republican,19.0,6.0,16.0,14.0,2.0,comments on 'Meet the Press'
5784,8765.json,false,Seventy percent of the people living in abject poverty are women.,"poverty,women",carly-fiorina,,California,republican,5.0,5.0,4.0,3.0,2.0,"a broadcast of ABC's ""This Week"""
8133,9203.json,mostly-true,"On average, women make 77 cents for every dollar men make.","economy,women",michelle-nunn,"Chief Executive Officer, Points of Light Foundation",Georgia,democrat,3.0,0.0,1.0,2.0,0.0,statements
10131,2194.json,barely-true,"Over the time that President Obama has been in office, we have lost 2.5 million free enterprise system jobs, and, yet, 500,000 federal government jobs have been added.",economy,pete-sessions,U.S. House representative,Texas,republican,1.0,0.0,1.0,0.0,0.0,a speech in the U.S. House
3780,3880.json,false,"The states tax burden has, according to census figures released today, cost our state another 190,000 residents in 2009.","census,economy,taxes",tom-kean-jr,New Jersey Senate Minority Leader,,republican,0.0,2.0,1.0,0.0,0.0,a press release
6231,8356.json,half-true,Eighty-five percent of governments running right now. Only 15 percent of government spending is shut down.,federal-budget,rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7.0,8.0,10.0,12.0,3.0,an interview on CNN
6625,4429.json,false,"Says Rick Perry and the Republican-controlled Texas Legislature managed to slash the budget of the volunteer fire departments in our state by 75 percent in the last legislative session, reducing their abilities to fight recent wildfires.","natural-disasters,state-budget",jim-hightower,Commentator,Texas,democrat,1.0,1.0,0.0,0.0,0.0,an interview.
8136,6293.json,false,"I used my line-item veto authority to veto $360 million dollars in special interest spending, so that our budget this year ... is still smaller than the fiscal year 2008 and 2009 budgets signed by my predecessor.","state-budget,state-finances",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a speech at the Brookings Institution
527,6903.json,pants-fire,Says Paul Ryans budget plan ends Medicare.,"federal-budget,health-care,medicare,message-machine-2012",rob-zerban,,,democrat,0.0,1.0,0.0,0.0,1.0,a TV ad
4058,9063.json,barely-true,The Republican-controlled Wisconsin Senate approved a bill denying veterans the right to recover their medical costs for cancers they developed while serving their country.,"environment,military,veterans",chris-larson,Wisconsin Senate Minority Leader,Wisconsin,democrat,6.0,5.0,0.0,1.0,1.0,an email
